,   447
185,   1245.0   0.68046   0.00865
186,   1250.0   0.68141   0.00709
187,   1255.0   0.68189   0.00840
188,   1260.0   0.68259   0.00768
189,   1265.0   0.68293   0.00744
190,   1270.0   0.68284   0.00791
191,   1275.0   0.68392   0.00726
192,   1280.0   0.68281   0.00883
193,   1285.0   0.68280   0.00823
194,   1290.0   0.68236   0.00852
195,   1295.0   0.68252   0.00924
196,   1300.0   0.68202   0.00821
197,   1305.0   0.68252   0.00737
198,   1310.0   0.68152   0.00897
199,   1315.0   0.68065   0.00914
200,   1320.0   0.67973   0.00831
201,   1325.0   0.67887   0.00977
202,   1330.0   0.67874   0.00859
203,   1335.0   0.67578   0.00799
204,   1340.0   0.67517   0.00830
205,   1345.0   0.67387   0.00913
206,   1350.0   0.67206   0.00736
207,   1355.0   0.67186   0.00811
208,   1360.0   0.66808   0.00773
209,   1365.0   0.66573   0.00768
210,   1370.0   0.66383   0.00875
211,   1375.0   0.65978   0.00728
212,   1380.0   0.65696   0.00868
213,   1385.0   0.65470   0.00932
214,   1390.0   0.65262   0.00857
215,   1395.0   0.64906   0.00871
216,   1400.0   0.64664   0.00730
217,   1405.0   0.64376   0.00859
218,   1410.0   0.63992   0.00752
219,   1415.0   0.63549   0.00760
220,   1420.0   0.63148   0.00844
221,   1425.0   0.62764   0.00716
222,   1430.0   0.62339   0.00832
223,   1435.0   0.61853   0.00862
224,   1440.0   0.61465   0.00879
225,   1445.0   0.61086   0.00858
226,   1450.0   0.60730   0.00693
227,   1455.0   0.60132   0.00826
228,   1460.0   0.59797   0.00744
229,   1465.0   0.59279   0.00715
230,   1470.0   0.58866   0.00758
231,   1475.0   0.58272   0.00709
232,   1480.0   0.57824   0.00918
233,   1485.0   0.57318   0.00903
234,   1490.0   0.56870   0.00836
235,   1495.0   0.56340   0.00824
236,   1500.0   0.55960   0.00748
237,   1505.0   0.55348   0.00838
238,   1510.0   0.54964   0.00737
239,   1515.0   0.54353   0.00738
240,   1520.0   0.53846   0.00855
241,   1525.0   0.53375   0.00752
242,   1530.0   0.52782   0.00818
243,   1535.0   0.52271   0.00843
244,   1540.0   0.51798   0.00775
245,   1545.0   0.51278   0.00779
246,   1550.0   0.50762   0.00669
247,   1555.0   0.50232   0.00638
248,   1560.0   0.49655   0.00673
249,   1565.0   0.49189   0.00651
250,   1570.0   0.48713   0.00579
251,   1575.0   0.48109   0.00672
252,   1580.0   0.47712   0.00600
253,   1585.0   0.47164   0.00597
254,   1590.0   0.46648   0.00626
255,   1595.0   0.46244   0.00567
256,   1600.0   0.45643   0.00662
257,   1605.0   0.45220   0.00618
258,   1610.0   0.44681   0.00644
259,   1615.0   0.44236   0.00630
260,   1620.0   0.43802   0.00567
261,   1625.0   0.43367   0.00616
262,   1630.0   0.42910   0.00514
263,   1635.0   0.42457   0.00509
264,   1640.0   0.42000   0.00529
265,   1645.0   0.41578   0.00555
266,   1650.0   0.41057   0.00649
267,   1655.0   0.40682   0.00589
268,   1660.0   0.40253   0.00633
269,   1665.0   0.39665   0.00650
270,   1670.0   0.39318   0.00537
271,   1675.0   0.38908   0.00580
272,   1680.0   0.38602   0.00610
273,   1685.0   0.38211   0.00589
274,   1690.0   0.37783   0.00650
275,   1695.0   0.37517   0.00586
276,   1700.0   0.37240   0.00585
277,   1705.0   0.36749   0.00601
278,   1710.0   0.36456   0.00554
279,   1715.0   0.36104   0.00594
280,   1720.0   0.35865   0.00542
281,   1725.0   0.35522   0.00536
282,   1730.0   0.35231   0.00510
